sent=4 sample=81 ||| proposal=-16.8872 ||| joint=-133.518
sent=4 sample=82 ||| proposal=-20.0958 ||| joint=-127.625
sent=4 sample=83 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=84 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=85 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=86 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=87 ||| proposal=-6.15426 ||| joint=-124.881
sent=4 sample=88 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=89 ||| proposal=-5.24802 ||| joint=-128.493
sent=4 sample=90 ||| proposal=-7.76924 ||| joint=-104.781
sent=4 sample=91 ||| proposal=-7.69664 ||| joint=-116.032
sent=4 sample=92 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=93 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=94 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=95 ||| proposal=-8.05104 ||| joint=-113.889
sent=4 sample=96 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=97 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=98 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=99 ||| proposal=-5.60986 ||| joint=-127.97
prob: -101.575034079049 (len=13)
sent=5 sample=0 ||| proposal=-3.35133 ||| joint=-111.006
sent=5 sample=1 ||| proposal=-1.16803 ||| joint=-108.067
sent=5 sample=2 ||| proposal=-4.8464 ||| joint=-111.619
sent=5 sample=3 ||| proposal=-1.55041 ||| joint=-114.331
sent=5 sample=4 ||| proposal=-4.98763 ||| joint=-108.736
sent=5 sample=5 ||| proposal=-1.55041 ||| joint=-114.331
sent=5 sample=6 ||| proposal=-3.74909 ||| joint=-132.122
sent=5 sample=7 ||| proposal=-4.25756 ||| joint=-112.476
sent=5 sample=8 ||| proposal=-1.55041 ||| joint=-114.331
